BPF Resource Thief Detector — Session Report
Generated : 2026-08-23 20:48:59.850662
Events    : 197
============================================================

[INFO] 20:48:26 | PID 58372 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:26 | PID 58375 (sh) | New process spawned -> /usr/bin/which
[INFO] 20:48:26 | PID 58377 (sh) | New process spawned -> /usr/bin/ps
[ALERT] 20:48:26 | PID 58377 (ps) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:26 | PID 58379 (sh) | New process spawned -> /snap/code/258/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh
[INFO] 20:48:26 | PID 58380 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:26 | PID 58381 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:26 | PID 58382 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:26 | PID 58383 (cpuUsage.sh) | New process spawned -> /usr/bin/sleep
[INFO] 20:48:27 | PID 58386 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:27 | PID 58387 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:30 | PID 58392 (sh) | New process spawned -> /usr/bin/which
[INFO] 20:48:30 | PID 58394 (sh) | New process spawned -> /usr/bin/ps
[ALERT] 20:48:30 | PID 58394 (ps) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:30 | PID 58397 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:30 | PID 58396 (sh) | New process spawned -> /snap/code/258/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh
[INFO] 20:48:30 | PID 58398 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:30 | PID 58399 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:30 | PID 58400 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:30 | PID 58401 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:30 | PID 58402 (cpuUsage.sh) | New process spawned -> /usr/bin/sleep
[INFO] 20:48:31 | PID 58404 (sh) | New process spawned -> /usr/bin/which
[INFO] 20:48:31 | PID 58406 (sh) | New process spawned -> /usr/bin/ps
[ALERT] 20:48:31 | PID 58406 (ps) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:31 | PID 58410 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
